TX_dBm,toy,Economia_%
20.0,toy2,7.7134986225895315
23.0,toy2,7.5634792004322
26.0,toy2,7.419183889772126
29.0,toy2,7.280291211648467
32.0,toy2,7.146503318019397
20.0,toy3,28.09917355371901
23.0,toy3,27.552674230145858
26.0,toy3,27.027027027027035
29.0,toy3,26.521060842433684
32.0,toy3,26.033690658499243
20.0,toy4,32.323232323232325
23.0,toy4,31.694579506573017
26.0,toy4,31.089913442854627
29.0,toy4,30.507886982145955
32.0,toy4,29.947251999319384
20.0,toy5,22.95684113865932
23.0,toy5,22.51035476319106
26.0,toy5,22.080904433845618
29.0,toy5,21.667533368001386
32.0,toy5,21.269355113152976
20.0,toy6,25.528007346189163
23.0,toy6,25.03151449666846
26.0,toy6,24.553965730436328
29.0,toy6,24.094297105217542
32.0,toy6,23.65152288582611
