Cenário,Potência (dBm),Potência Tx (W),P_idle (W),P_proc (W),P_UE (W),P_TxComp (W),P_gNB (W),Energia (J),Throughput (Mbps),Eficiência (bits/J),UEs
Configuração 2,5,0.0031622776601683794,90.00158113883009,2.400018973665961,3.60018973665961,0.0031622776601683794,96.00495212681584,1920.0990425363168,20.6,214572.26469722978,12
Configuração 2,10,0.01,90.005,2.4000600000000003,3.6006,0.01,96.01566,1920.3132,35.58865506506747,370654.69388084684,12
Configuração 2,15,0.03162277660168379,90.01581138830085,2.40018973665961,3.6018973665961007,0.03162277660168379,96.04952126815824,1920.9904253631648,46.942038598426656,488727.4603625598,12
Configuração 2,20,0.1,90.05,2.4006000000000003,3.606,0.1,96.15659999999998,1923.1319999999996,55.54183071426257,577618.4964345929,12
Configuração 2,25,0.31622776601683794,90.15811388300843,2.401897366596101,3.6189736659610103,0.31622776601683794,96.49521268158237,1929.9042536316474,62.05587335347143,643097.9488925027,12
Configuração 2,30,1.0,90.5,2.406,3.66,1.0,97.566,1951.3200000000002,66.99003349756309,686612.4828071571,12
Configuração 2,35,3.1622776601683795,91.58113883008419,2.41897366596101,3.7897366596101025,3.1622776601683795,100.95212681582368,2019.0425363164736,70.7274877446387,700604.2366365734,12
Configuração 2,40,10.0,95.0,2.46,4.199999999999999,10.0,111.66,2233.2,73.55847900577757,658771.977483231,12
Configuração 2,45,31.622776601683793,105.8113883008419,2.589736659610103,5.497366596101028,31.622776601683793,145.5212681582368,2910.425363164736,75.70285616488684,520218.50223686284,12
Configuração 2,50,100.0,140.0,3.0,9.600000000000001,100.0,252.6,5052.0,77.32714708504305,306124.88948948163,12
Configuração 2,55,316.2277660168379,248.11388300841895,4.2973665961010274,22.573665961010274,316.2277660168379,591.2126815823681,11824.253631647362,78.55749081543321,132875.17886993862,12
Configuração 2,60,1000.0,590.0,8.4,63.599999999999994,1000.0,1662.0,33240.0,79.48943328714559,47827.577188414914,12
